S.No,Image Name,Refererence Caption,M1-Caption,M2-Caption,M3-Caption,
114,167295035_336f5f5f27,man wearing blue climbs steep cliff,man wearing blue climbs steep cliff,a man is climbing up a tree to climb a rock ,The man wearing a white helmet and blue shirt is preparing to climb,
115,169490297_b6ff13632a,boy looks down and spreads his arms wide,boy looks down and spreads his arms wide,a boy in a blue shirt and blue pants is playing with a blue ball ,"The boy in the blue, yellow, and orange shirt standing with his arms outstretched",
116,170100272_d820db2199,child is on slide,child is on slide,a person sitting on a bench ,Little girl is sliding down blue and yellow spiral slide at park,
117,172092461_a9a9762e13,man rides bike ,man rides bike ,a man is water skiing on a lake ,"The man wearing a red life jacket rode the wakeboard with one hand, a wide smile on his face as he glided across the water",
118,172092464_d9eb4f4f2f,guy waterskiing behind boat,guy waterskiing behind boat,a man is water skiing on a lake ,men wearing red life jecket and blue shorts holding purple rope while waterskiing,
119,17273391_55cfc7d3d4,man is fishing in foggy lake,man is fishing in foggy lake,a man walking along a path with a boat ,A person is fishing on the bank of a foggy river near a large tree,
120,173020287_230bfc4ffc,brown dog jumps while man holds stick up high,brown dog jumps while man holds stick up high,a man is petting a dog on the ground ,man stands with his arm up in the air holding stick while dog jumps up,
121,174466741_329a52b2fe,girl with pink shirt is running through flowery grass,girl with pink shirt is running through flowery grass,a woman in a pink dress standing in a field ,"Under the sunny sky, a young girl wearing a pink shirt and jeans is running through a field filled with colorful flowers",
122,177302997_5b2d770a0a,child sitting on carousel horse,child sitting on carousel horse,children riding on plastic horse,"A lineup of plastic horses has been organized to create a children's ride, with a lone child enjoying a ride on one of them",
123,179829865_095b040377,man waterskies with life jacket,man waterskies with life jacket,a man is water skiing on a lake ,a man is wearing a red life jacket and is waterskiing in the water,
124,180094434_b0f244832d,three kids are playing at fountain in front of building,three kids are playing at fountain in front of building,people are standing around a fountain ,"In the courtyard of the office building, people are walking while a child plays around the fountain",
125,181103691_fb2f956abd,kids play in the water in the middle of the street,kids play in the water in the middle of the street,a fire hydrant spraying water onto a street ,"a group of children are playing in the street, running  under the spray of water from a large machine, while a large building and a green lawn can be seen in the background",
126,181157221_e12410ef0b,man and woman walk their dogs on leashes,man and woman walk their dogs on leashes,a dog running across a grassy field with a man ,The dogs are pulling on their leashes towards each other while their owners walk in opposite directions on the grass,
127,181415975_2627aa6668,man is wakeboarding and is jumping into the air,man is wakeboarding and is jumping into the air,a man is water skiing while holding onto a rope ,blond man jumping through the air over the ocean,
128,181777261_84c48b31cb,many people are on the beach near building with flags flying,many people are on the beach near building with flags flying,a beach with people on it and a flag flying ,"On this partly cloudy day, a group of people stand on the beach. On the right side, there is a building with a flag flying",
129,182493240_40410254b0,two men raise their arms atop snowy mountain,two men raise their arms atop snowy mountain,a man standing on top of a snow covered slope ,"On a partly cloudy day, two people wearing green and blue shirts kneel on the snow, raise their arms in excitement, and behind them is a snow-capped mountain peak and green trees.",
130,185972340_781d60ccfd,man drives green jeep over few jagged rocks,man drives green jeep over few jagged rocks,a large black truck with a large rock on top ,"Among the dense trees of the forest, a man with a pink shirt rides a green jeep over a large rock stone",
131,186346360_541047336f,woman poses for picture while in front of lake,woman poses for picture while in front of lake,a woman in a bikini standing on a rock ,girl in bikini top and shorts poses for picture on mountain overlooking lake,
132,186348874_75b2cf1ec5,group of people are riding bicycles in race,group of people are riding bicycles in race,a large group of people riding bikes down a trail ,"The road was lined with lush green trees on both sides, and a group of cyclists were riding down the path in an off-road race.",
133,186890601_8a6b0f1769,man is swinging on rope over water,man is swinging on rope over water,a person is jumping over a body of water ,man in red shorts swinging on rope over lake,
134,186890605_ddff5b694e,man is swinging on rope swing into lake,man is swinging on rope swing into lake,a person jumping over a body of water ,man in  shorts swinging on rope over lake,
135,189721896_1ffe76d89e,the climber in red is leading climbers up long rock face,the climber in red is leading climbers up long rock face,a person on a rock climbing up a hill ,man wearing red shirt is climbs up very tall cliff with blue rope behind him,
136,189740668_0b045f1ff2,man climbs large rock,man climbs large rock,a man is climb on hill,shirtless man climbs up cliff face with no safety equipment,
137,241109594_3cb90fe2a3,Dog swimming in water,Dog swimming in water,a dog in the water with a frisbee in its mouth ,A black and white dog is holding a stick in its mouth and swimming in a pond.,
138,242064301_a9d12f1754,men standing on rock,men standing on rock,a man standing on a sidewalk holding a tennis racket ,"A man wearing a blue shirt and jeans, with sunglasses and a side bag, is walking in front of a dark blue wall.",
139,244571201_0339d8e8d1,man are swimming in water,man are swimming in water,a dog swimming in a pool with a group of people ,The serene swimming pool is surrounded by lush trees and filled with crystal-clear blue water where children and a dogs joyfully swim.,
140,250892549_1e06a06a78,two dogs in grassy park playing,two dogs in grassy park playing,two dogs playing with each other in a field ,golden dog with blue object in its mouth stands next to another golden dog in front of green fence in grassy field,
141,251056963_c8b67f0107,black and white dog is running along blue board,black and white dog is running along blue board,dog standing on top of a blue and white crate ,black and white dog running down blue ramp with his mouth open,
142,251586160_a31b187a37,black dog jumping in water,black dog jumping in water,a dog jumping up into the air to catch a frisbee ,man watches eagerly as his black dog sprints near the blue fence,
143,251792066_b5233b3d86,dog with toy in its mouth,dog with toy in its mouth,a black dog with a frisbee in its mouth ,"in front of tree the black dog catches green toy in its mouth
",
144,251958970_fa6b423f23,man stands near crowd ,man stands near crowd ,a man holding a sign with a bunch of food on it ,"A man with a tan cap, suit jacket, and plaid shirt is holding up a protest sign
while other people can be seen in the background",20
145,252124738_796599e94b,man eats corn on the cob while talking to woman,man eats corn on the cob while talking to woman,a woman holding a banana and a man holding a cigarette ,"A man with a tattoo on his arm sits next to a woman in a yellow shirt on a bench, with a crowd of people behind them, while the man enjoys eating corn.",
146,252504549_135b0db5a3,small dog is playing with ball on the sand,small dog is playing with ball on the sand,a dog playing with a ball on a beach ,A white dog happily plays with a green ball on the sandy beach.,
147,252578659_9e404b6430,sheep cluster together in field while dog is nearby,sheep cluster together in field while dog is nearby,a sheep and a dog are in a field ,three sheep graze on the grassy field with a dog walking behind them,
148,252802010_3d47bee500,two small dogs playing with each other in the grass,two small dogs playing with each other in the grass,dogs are playing with eachother on grass,"Two dogs, one brown and one white, are joyfully running and playing together on a green grassy field.",
149,252846811_7b250935a7,two yellow dogs playfighting,two yellow dogs playfighting,two dog are playing on a green lawn,Two brown dogs engage in rough play on a lush green lawn,
150,253762507_9c3356c2f6,someone is pulling big black bag onto subway,someone is pulling big black bag onto subway,a woman is walking past a train with a bag ,A security guard is standing at the door of the train while another person bring their belongings off the train.,
151,254295381_d98fa049f4,black and brown dog stands on roof,black and brown dog stands on roof,a dog sitting on top of roof,dog leaps onto the red roof of the doghouse,
152,254475194_3d8f4dfd53,black dog runs in yard while woman observes,black dog runs in yard while woman observes,a dog running in a yard with a frisbee ,black dog runs in grassy yard while woman dressed in a beautiful green dress smiles with joy watching her dog play.,
153,254527963_3f5824b0e8,black dog running on beach,black dog running on beach,a black dog running on the beach ,black dog is running in the sand on the beach,
